qseqid	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
E250118428L1C001R00504285302|Cx:i:14927|Cy:i:4180|33841CC40EED5|7F3D8	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C002R04203408425|Cx:i:7940|Cy:i:17682|1DC90E007A460|7CFFC	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C003R02801609546|Cx:i:16800|Cy:i:11865|1419F0E0CBDC2|64E91	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C004R00700769538|Cx:i:8385|Cy:i:4870|A55751A28CE5|7055C	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C004R03601212849|Cx:i:15050|Cy:i:14302|1489270C82315|B883C	60711	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
E250118428L1C006R04202900173|Cx:i:8898|Cy:i:15987|244C68B60B700|D7909	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C011R00604737868|Cx:i:15985|Cy:i:13778|320ECF596D670|775F7	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C011R03403176403|Cx:i:16166|Cy:i:13223|3415C27748491|6683A	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C013R01800311522|Cx:i:13521|Cy:i:14713|161D42206482D|5C31C	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C013R03302111890|Cx:i:8165|Cy:i:3411|19676E542B0C2|D59ED	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C014R00501884548|Cx:i:18575|Cy:i:17537|3ED26160DCC0D|6E021	2715852	Metazoa	Chordata	Mammalia	Primates	Cebidae	Cebus	Cebus imitator
E250118428L1C014R01900506372|Cx:i:17701|Cy:i:13114|3BE55D8A80ABD|680D7	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C014R02800896079|Cx:i:11741|Cy:i:15260|4D1EC4F4823C|6710A	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C015R03404010940|Cx:i:15917|Cy:i:13616|820C6093F200|65B91	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C017R02003691024|Cx:i:14605|Cy:i:14696|D6FAEEAC0E89|72030	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C017R02903402035|Cx:i:2455|Cy:i:8754|1565A58E4D516|DAD9E	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C017R03804538555|Cx:i:14409|Cy:i:17778|35DC645076604|26A47	41426	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
E250118428L1C018R00104919209|Cx:i:15434|Cy:i:15363|642167821|678DB	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C019R01503873581|Cx:i:3634|Cy:i:6044|70524609310|70BEB	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C021R03303940017|Cx:i:6253|Cy:i:8336|24215DEB7B7C9|54D0E	41426	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
